FT-SS-01,FT-SS-02-a,FT-SS-02-b,FT-SS-02-c,FT-SS-02-d,FT-SS-02-e,FT-SS-03-a,FT-SS-03-b,FT-SS-03-c,FT-SS-04,FT-SS-05,FT-SS-06,FT-SS-07-a1,FT-SS-07-a2,FT-SS-07-b,FT-SS-07-c1,FT-SS-07-c2,FT-SS-07-d,FT-SS-07-e1,FT-SS-07-e2,FT-SS-07-f1,FT-SS-07-f2,FT-SS-07-f3,FT-SS-07-f4,FT-SS-07-g1,FT-SS-07-g2,FT-SS-07-g3,FT-SS-07-g4,FT-SS-07-g5,FT-SS-07-g6,FT-SS-07-g7,FT-SS-07-g8,FT-SS-07-h,FT-SS-08-a1,FT-SS-08-a2,FT-SS-08-a3,FT-SS-08-a4,FT-SS-08-b1,FT-SS-08-b2,FT-SS-08-b3,FT-SS-08-b4,FT-SS-08-c,FT-SS-09-a1,FT-SS-09-a2,FT-SS-09-a3,FT-SS-09-a4,FT-SS-09-a5,FT-SS-09-a6,FT-SS-09-a7,FT-SS-09-a8,FT-SS-09-b,FT-SS-09-c,FT-SS-10-a1,FT-SS-10-a2
Determine if 'DireWolf' is present in the file,"Locate instances of ""WOLF"" without differentiating case.",Detect each occurrence of 'wolf' without regard to case.,Detect each occurrence of 'Wolf' without regard to case.,Detect each occurrence of 'DireWolf' without regard to case.,Detect each occurrence of 'WereWolf' without regard to case.,"Search for ""WOLF"" occurrences specifically as a standalone word, not part of substrings.",Search exclusively for 'wolf' as an entire word.,Search exclusively for 'Wolf' as an entire word.,"Look for places where ""WereWolf"" and ""DireWolf"" are both referenced.",Search for the exact words 'Were' or 'Dire.',Search for files with 'fox' while omitting 'tiger.',Search for the term 中国 in documents.,Search for the term 東京 in documents.,Search for the term 서울 in documents.,Search for the term スバル in documents.,Search for the term みつびし in documents.,Search for the term Сибирь in documents.,Search for the term garçon in documents.,Search for the term Schönheit in documents.,Search for the term Россия in documents.,Search for the term فللاف in documents.,Search for the term 中國 in documents.,Search for the term 'QuarterHorse' in documents.,Search for the term mañana in documents.,Search for the term 'infinity' in documents.,Search for the term Mäuse in documents.,Identify files that list 'infinity.',Search for the term Mäuse in documents.,Search for the term libertà in documents.,Search for the term liberta in documents.,Search for the term mañana in documents.,Search for the term سسكلكا in documents.,Search for the term 'iron.man@marvel.com' in documents.,Search for the term 'potus@capitol.gov' in documents.,Search for the term 'berlin@deutchland.net' in documents.,Search for the term 'kbg@moscow.red.square.ru' in documents.,Search for the term '(901)555-1111' in documents.,Search for the term '301.555-9009' in documents.,Search for the term '800-555-1122' in documents.,Search for the term '202.555.3270' in documents.,Search for the term Social Security Numbers in documents.,Retrieve the HTML document titled 'longbow.',Search for the word document named 'shotgun.',Search for the term 'shotgun' within documents.,Search for the word document named 'peroxide.',Search for the word document named 'nitroglycerin.',Search for the word document named 'rifle.',Search for the web page named 'crossbow.',Search for the word document named 'flintlock.',Search MFT and Log files for the word cañón.,Search MFT and Log files for the word 'thunderbird'.,Search for words that start with 'D' and are 8 letters long.,Search for words with 8 letters starting with 'W' and containing 'W' as the 5th letter.
Find all instances of 'DireWolf' within the document,"Find all appearances of ""WOLF"" irrespective of case.","Identify all instances of 'wolf,' with no case consideration.","Identify all instances of 'Wolf,' with no case consideration.","Identify all instances of 'DireWolf,' with no case consideration.","Identify all instances of 'WereWolf,' with no case consideration.","Discover instances of ""WOLF"" uniquely as a word separate from substrings.","Find exact instances of 'wolf,' excluding substrings.","Find exact instances of 'Wolf,' excluding substrings.","Discover occurrences where both ""WereWolf"" and ""DireWolf"" are used.",Locate and find the words 'Were' or 'Dire.',Locate files with 'fox' and excluding the word 'tiger.',Locate files with 中国 included.,Locate files with 東京 included.,Locate files with 서울 included.,Locate files with スバル included.,Locate files with みつびし included.,Locate files with Сибирь included.,Locate files with garçon included.,Locate files with Schönheit included.,Locate files with Россия included.,Locate files with فللاف included.,Locate files with 中國 included.,Locate files with 'QuarterHorse' included.,Locate files with mañana included.,Locate files with 'infinity' included.,Locate files with Mäuse included.,Search for the term 'infinity' in documents.,Locate files with Mäuse included.,Locate files with libertà included.,Locate files with liberta included.,Locate files with mañana included.,Locate files with سسكلكا included.,Locate files with 'iron.man@marvel.com' included.,Locate files with 'potus@capitol.gov' included.,Locate files with 'berlin@deutchland.net' included.,Locate files with 'kbg@moscow.red.square.ru' included.,Locate files with '(901)555-1111' included.,Locate files with '301.555-9009' included.,Locate files with '800-555-1122' included.,Locate files with '202.555.3270' included.,Locate files with Social Security Numbers included.,Please find the HTML file called 'longbow.',Locate a word document called 'shotgun.',Locate documents that feature the word 'shotgun.',Locate a word document called 'peroxide.',Locate a word document called 'nitroglycerin.',Locate a word document called 'rifle.',Locate a web page called 'crossbow.',Locate a word document called 'flintlock.',Locate MFT and Log files with cañón.,Locate MFT and Log files with 'thunderbird'.,Locate any word that starts with 'D' and 8 letters.,Locate 8-letter words starting with 'W' and having 'W' in the 5th place.
Check if 'DireWolf' appears in the file,"Discover every occurrence of ""WOLF"" without distinguishing between uppercase and lowercase.","Find every appearance of 'wolf,' irrespective of case.","Find every appearance of 'Wolf,' irrespective of case.","Find every appearance of 'DireWolf,' irrespective of case.","Find every appearance of 'WereWolf,' irrespective of case.","Identify occurrences of ""WOLF"" solely as a separate word, excluding substrings.",Locate the whole word 'wolf' without parts of other words.,Locate the whole word 'Wolf' without parts of other words.,"Find instances containing both ""WereWolf"" and ""DireWolf.""",Identify instances of the words 'Were' or 'Dire.',Find files that include 'fox' but lack 'tiger.',Find instances of the string 中国 in text.,Find instances of the string 東京 in text.,Find instances of the string 서울 in text.,Find instances of the string スバル in text.,Find instances of the string みつびし in text.,Find instances of the string Сибирь in text.,Find instances of the string garçon in text.,Find instances of the string Schönheit in text.,Find instances of the string Россия in text.,Find instances of the string فللاف in text.,Find instances of the string 中國 in text.,Find instances of the string 'QuarterHorse' in text.,Find instances of the string mañana in text.,Find instances of the string 'infinity' in text.,Find instances of the string Mäuse in text.,Locate files with 'infinity' included.,Find instances of the string Mäuse in text.,Find instances of the string libertà in text.,Find instances of the string liberta in text.,Find instances of the string mañana in text.,Find instances of the string سسكلكا in text.,Find instances of the string 'iron.man@marvel.com' in text.,Find instances of the string 'potus@capitol.gov' in text.,Find instances of the string 'berlin@deutchland.net' in text.,Find instances of the string 'kbg@moscow.red.square.ru' in text.,Find instances of the string '(901)555-1111' in text.,Find instances of the string '301.555-9009' in text.,Find instances of the string '800-555-1122' in text.,Find instances of the string '202.555.3270' in text.,Find instances of Social Security Numbers in text.,Locate the HTML document named 'longbow.',Find the document called 'shotgun.',Find occurrences of 'shotgun' in files.,Find the document called 'peroxide.',Find the document called 'nitroglycerin.',Find the document called 'rifle.',Find the site called 'crossbow.',Find the document called 'flintlock.',Find MFT and Log files mentioning cañón.,Find MFT and Log files mentioning 'thunderbird'.,Find words beginning with 'D' and containing 8 characters.,Find words that start with 'W' and have 'W' as the 5th letter in 8-letter words.
Search for instances of the term 'DireWolf' in the document,"Search for ""WOLF"" occurrences without regard for letter case.",Search all mentions of 'wolf' without considering case.,Search all mentions of 'Wolf' without considering case.,Search all mentions of 'DireWolf' without considering case.,Search all mentions of 'WereWolf' without considering case.,"Locate the word ""WOLF"" independently without it being part of substrings.",Identify the word 'wolf' as a standalone word.,Identify the word 'Wolf' as a standalone word.,"Search for occurrences where both ""WereWolf"" and ""DireWolf"" are mentioned.",Search and locate the exact words 'Were' or 'Dire.',Identify files showing 'fox' without 'tiger.',Identify documents mentioning 中国,Identify documents mentioning 東京,Identify documents mentioning 서울,Identify documents mentioning スバル,Identify documents mentioning みつびし,Identify documents mentioning Сибирь,Identify documents mentioning garçon,Identify documents mentioning Schönheit,Identify documents mentioning Россия,Identify documents mentioning فللاف,Identify documents mentioning 中國,Identify documents mentioning 'QuarterHorse.',Identify documents mentioning mañana,Identify documents mentioning 'infinity.',Identify documents mentioning Mäuse,Find instances of the string 'infinity' in text.,Identify documents mentioning Mäuse,Identify documents mentioning libertà,Identify documents mentioning liberta,Identify documents mentioning mañana,Identify documents mentioning سسكلكا,Identify documents mentioning 'iron.man@marvel.com.',Identify documents mentioning 'potus@capitol.gov.',Identify documents mentioning 'berlin@deutchland.net.',Identify documents mentioning 'kbg@moscow.red.square.ru.',Identify documents mentioning '(901)555-1111.',Identify documents mentioning '301.555-9009.',Identify documents mentioning '800-555-1122.',Identify documents mentioning '202.555.3270.',Identify documents mentioning Social Security Numbers.,Can you get the HTML file titled 'longbow'?,Identify a file titled 'shotgun.',Identify documents that include the term 'shotgun.',Identify a file titled 'peroxide.',Identify a file titled 'nitroglycerin.',Identify a file titled 'rifle.',Identify a page titled 'crossbow.',Identify a file titled 'flintlock.',Identify MFT and Log files that contain cañón.,Identify MFT and Log files that contain 'thunderbird'.,Identify words that start with 'D' and have 8 characters.,"Identify words beginning with 'W', 8 letters long, with 'W' in the 5th position."
Locate occurrences of 'DireWolf' in the file,"Locate occurrences of ""WOLF"" while ignoring case sensitivity.","Locate every mention of 'wolf,' ignoring the case.","Locate every mention of 'Wolf,' ignoring the case.","Locate every mention of 'DireWolf,' ignoring the case.","Locate every mention of 'WereWolf,' ignoring the case.","Find instances of ""WOLF"" without considering it within compound words or substrings.","Search for the exact match 'wolf,' no substrings.","Search for the exact match 'Wolf,' no substrings.","Locate instances where both ""WereWolf"" and ""DireWolf"" are present.",Find the exact instances of 'Were' or 'Dire.',Search for documents with 'fox' but not 'tiger.',Search for files featuring 中国,Search for files featuring 東京,Search for files featuring 서울,Search for files featuring スバル,Search for files featuring みつびし,Search for files featuring Сибирь,Search for files featuring garçon,Search for files featuring Schönheit,Search for files featuring Россия,Search for files featuring فللاف,Search for files featuring 中國,Search for files featuring 'QuarterHorse.',Search for files featuring mañana,Search for files featuring 'infinity.',Search for files featuring Mäuse,Identify documents mentioning 'infinity.',Search for files featuring Mäuse,Search for files featuring libertà,Search for files featuring liberta,Search for files featuring mañana,Search for files featuring سسكلكا,Search for files featuring 'iron.man@marvel.com.',Search for files featuring 'potus@capitol.gov.',Search for files featuring 'berlin@deutchland.net.',Search for files featuring 'kbg@moscow.red.square.ru.',Search for files featuring '(901)555-1111.',Search for files featuring '301.555-9009.',Search for files featuring '800-555-1122.',Search for files featuring '202.555.3270.',Search for files featuring Social Security Numbers.,Could you fetch the HTML document referred to as 'longbow'?,Search for the file called 'shotgun.',Search for 'shotgun' in the text of documents.,Search for the file called 'peroxide.',Search for the file called 'nitroglycerin.',Search for the file called 'rifle.',Search for the site called 'crossbow.',Search for the file called 'flintlock.',Search for cañón in MFT records and Log files.,Search for 'thunderbird' in MFT records and Log files.,Search for any word beginning with 'D' and 8 letters.,Search for 8-letter words starting with 'W' that have 'W' as the 5th letter.
Look for the term 'DireWolf' throughout the file,"Find instances of ""WOLF"" without sensitivity to case.","Identify each appearance of 'wolf,' case insensitive.","Identify each appearance of 'Wolf,' case insensitive.","Identify each appearance of 'DireWolf,' case insensitive.","Identify each appearance of 'WereWolf,' case insensitive.","Search for the standalone occurrence of ""WOLF,"" excluding substrings.",Find 'wolf' without including parts of other words.,Find 'Wolf' without including parts of other words.,"Discover places where ""WereWolf"" and ""DireWolf"" are mentioned together.",Locate the occurrences of 'Were' and 'Dire.',Locate files mentioning 'fox' and not 'tiger.',Locate documents that show 中国,Locate documents that show 東京,Locate documents that show 서울,Locate documents that show スバル,Locate documents that show みつびし,Locate documents that show Сибирь,Locate documents that show garçon,Locate documents that show Schönheit,Locate documents that show Россия,Locate documents that show فللاف,Locate documents that show 中國,Locate documents that show 'QuarterHorse.',Locate documents that show mañana,Locate documents that show 'infinity.',Locate documents that show Mäuse,Search for files featuring 'infinity.',Locate documents that show Mäuse,Locate documents that show libertà,Locate documents that show liberta,Locate documents that show mañana,Locate documents that show سسكلكا,Locate documents that show 'iron.man@marvel.com.',Locate documents that show 'potus@capitol.gov.',Locate documents that show 'berlin@deutchland.net.',Locate documents that show 'kbg@moscow.red.square.ru.',Locate documents that show '(901)555-1111.',Locate documents that show '301.555-9009.',Locate documents that show '800-555-1122.',Locate documents that show '202.555.3270.',Locate documents that show Social Security Numbers.,Retrieve the HTML file called 'longbow.',Locate a word file named 'shotgun.',Locate word files containing 'shotgun.',Locate a word file named 'peroxide.',Locate a word file named 'nitroglycerin.',Locate a word file named 'rifle.',Locate a website named 'crossbow.',Locate a word file named 'flintlock.',Locate cañón in MFT records and Log files.,Locate 'thunderbird' in MFT records and Log files.,Locate 8-letter words that begin with 'D'.,"Locate any word starting with 'W', having 8 letters, with 'W' as the 5th letter."
Identify any appearances of 'DireWolf' in the document,"Identify all instances of ""WOLF"" without distinguishing case.","Detect all instances of 'wolf,' without case sensitivity.","Detect all instances of 'Wolf,' without case sensitivity.","Detect all instances of 'DireWolf,' without case sensitivity.","Detect all instances of 'WereWolf,' without case sensitivity.","Discover occurrences of ""WOLF"" uniquely as an individual term, not within substrings.","Locate 'wolf' as a complete word, not within other words.","Locate 'Wolf' as a complete word, not within other words.","Look for occurrences of both ""WereWolf"" and ""DireWolf"" in the text.",Identify all the instances of 'Were' or 'Dire.',Find files listing 'fox' and excluding 'tiger.',Find files that list 中国,Find files that list 東京,Find files that list 서울,Find files that list スバル,Find files that list みつびし,Find files that list Сибирь,Find files that list garçon,Find files that list Schönheit,Find files that list Россия,Find files that list فللاف,Find files that list 中國,Find files that list 'QuarterHorse.',Find files that list mañana,Find files that list 'infinity.',Find files that list Mäuse,Locate documents that show 'infinity.',Find files that list Mäuse,Find files that list libertà,Find files that list liberta,Find files that list mañana,Find files that list سسكلكا,Find files that list 'iron.man@marvel.com.',Find files that list 'potus@capitol.gov.',Find files that list 'berlin@deutchland.net.',Find files that list 'kbg@moscow.red.square.ru.',Find files that list '(901)555-1111.',Find files that list '301.555-9009.',Find files that list '800-555-1122.',Find files that list '202.555.3270.',Find files that list Social Security Numbers.,Please locate the HTML document titled 'longbow.',Find the word doc titled 'shotgun.',Find files that mention 'shotgun.',Find the word doc titled 'peroxide.',Find the word doc titled 'nitroglycerin.',Find the word doc titled 'rifle.',Find the website titled 'crossbow.',Find the word doc titled 'flintlock.',Find cañón in MFT records and Log files.,Find 'thunderbird' in MFT records and Log files.,Find any word starting with 'D' and having 8 letters.,"Find words beginning with 'W', having 8 letters, and 'W' as the 5th letter."
Determine if the term 'DireWolf' is present in the file,"Search for ""WOLF"" appearances without considering capitalization.",Find all occurrences of 'wolf' regardless of case.,Find all occurrences of 'Wolf' regardless of case.,Find all occurrences of 'DireWolf' regardless of case.,Find all occurrences of 'WereWolf' regardless of case.,"Identify instances of ""WOLF"" solely as a standalone term, excluding substrings.",Identify occurrences of 'wolf' without matching substrings.,Identify occurrences of 'Wolf' without matching substrings.,"Identify instances where both ""WereWolf"" and ""DireWolf"" appear.",Search and find the exact words 'Were' or 'Dire.',Identify files having 'fox' but avoiding 'tiger.',Identify files that mention 中国,Identify files that mention 東京,Identify files that mention 서울,Identify files that mention スバル,Identify files that mention みつびし,Identify files that mention Сибирь,Identify files that mention garçon,Identify files that mention Schönheit,Identify files that mention Россия,Identify files that mention فللاف,Identify files that mention 中國,Identify files that mention 'QuarterHorse.',Identify files that mention mañana,Identify files that mention 'infinity.',Identify files that mention Mäuse,Find files that list 'infinity.',Identify files that mention Mäuse,Identify files that mention libertà,Identify files that mention liberta,Identify files that mention mañana,Identify files that mention سسكلكا,Identify files that mention 'iron.man@marvel.com.',Identify files that mention 'potus@capitol.gov.',Identify files that mention 'berlin@deutchland.net.',Identify files that mention 'kbg@moscow.red.square.ru.',Identify files that mention '(901)555-1111.',Identify files that mention '301.555-9009.',Identify files that mention '800-555-1122.',Identify files that mention '202.555.3270.',Identify files that mention Social Security Numbers.,Find the HTML file named 'longbow.',Identify a document titled 'shotgun.',Identify documents that have 'shotgun' inside.,Identify a document titled 'peroxide.',Identify a document titled 'nitroglycerin.',Identify a document titled 'rifle.',Identify a web page titled 'crossbow.',Identify a document titled 'flintlock.',Identify cañón in MFT records and Log files.,Identify 'thunderbird' in MFT records and Log files.,Identify any 8-letter word starting with 'D'.,Identify words with 8 letters that begin with 'W' and have 'W' as the 5th letter.
Find all occurrences of 'DireWolf' in the document,"Locate every instance of ""WOLF"" with case sensitivity ignored.",Search for the word 'wolf' in all cases.,Search for the word 'Wolf' in all cases.,Search for the word 'DireWolf' in all cases.,Search for the word 'WereWolf' in all cases.,"Locate occurrences of ""WOLF"" distinctly as a word independent of substrings.",Search exclusively for the standalone word 'wolf.',Search exclusively for the standalone word 'Wolf.',"Search for occurrences featuring both ""WereWolf"" and ""DireWolf.""",Locate and find occurrences of 'Were' or 'Dire.',Search for files where 'fox' is present but 'tiger' is not.,Search for occurrences of 中国 in documents.,Search for occurrences of 東京 in documents.,Search for occurrences of 서울 in documents.,Search for occurrences of スバル in documents.,Search for occurrences of みつびし in documents.,Search for occurrences of Сибирь in documents.,Search for occurrences of garçon in documents.,Search for occurrences of Schönheit in documents.,Search for occurrences of Россия in documents.,Search for occurrences of فللاف in documents.,Search for occurrences of 中國 in documents.,Search for occurrences of 'QuarterHorse' in documents.,Search for occurrences of mañana in documents.,Search for occurrences of 'infinity' in documents.,Search for occurrences of Mäuse in documents.,Identify files that mention 'infinity.',Search for occurrences of Mäuse in documents.,Search for occurrences of libertà in documents.,Search for occurrences of liberta in documents.,Search for occurrences of mañana in documents.,Search for occurrences of سسكلكا in documents.,Search for occurrences of 'iron.man@marvel.com' in documents.,Search for occurrences of 'potus@capitol.gov' in documents.,Search for occurrences of 'berlin@deutchland.net' in documents.,Search for occurrences of 'kbg@moscow.red.square.ru' in documents.,Search for occurrences of '(901)555-1111' in documents.,Search for occurrences of '301.555-9009' in documents.,Search for occurrences of '800-555-1122' in documents.,Search for occurrences of '202.555.3270' in documents.,Search for occurrences of Social Security Numbers in documents.,Can you pull up the HTML document referred to as 'longbow'?,Search for the document named 'shotgun.',Search for 'shotgun' in word document text.,Search for the document named 'peroxide.',Search for the document named 'nitroglycerin.',Search for the document named 'rifle.',Search for the website named 'crossbow.',Search for the document named 'flintlock.',Search for cañón in MFT logs and files.,Search for 'thunderbird' in MFT logs and files.,Search for words beginning with 'D' and containing 8 letters.,"Search for any word with 8 letters, starting with 'W', and 'W' as the 5th letter."
Check if the term 'DireWolf' appears in the file,"Find occurrences of ""WOLF"" without considering differences in case.",Locate each occurrence of 'wolf' with no regard to case.,Locate each occurrence of 'Wolf' with no regard to case.,Locate each occurrence of 'DireWolf' with no regard to case.,Locate each occurrence of 'WereWolf' with no regard to case.,"Find only the standalone word ""WOLF,"" excluding it from substrings.","Find only 'wolf,' excluding parts of other words.","Find only 'Wolf,' excluding parts of other words.","Find instances where ""WereWolf"" and ""DireWolf"" occur together.",Identify the words 'Were' or 'Dire' in text.,Locate files containing the word 'fox' but not 'tiger.',Locate files containing the term 中国,Locate files containing the term 東京,Locate files containing the term 서울,Locate files containing the term スバル,Locate files containing the term みつびし,Locate files containing the term Сибирь,Locate files containing the term garçon,Locate files containing the term Schönheit,Locate files containing the term Россия,Locate files containing the term فللاف,Locate files containing the term 中國,Locate files containing the term 'QuarterHorse.',Locate files containing the term mañana,Locate files containing the term 'infinity.',Locate files containing the term Mäuse,Search for occurrences of 'infinity' in documents.,Locate files containing the term Mäuse,Locate files containing the term libertà,Locate files containing the term liberta,Locate files containing the term mañana,Locate files containing the term سسكلكا,Locate files containing the term 'iron.man@marvel.com.',Locate files containing the term 'potus@capitol.gov.',Locate files containing the term 'berlin@deutchland.net.',Locate files containing the term 'kbg@moscow.red.square.ru.',Locate files containing the term '(901)555-1111.',Locate files containing the term '301.555-9009.',Locate files containing the term '800-555-1122.',Locate files containing the term '202.555.3270.',Locate files containing the term Social Security Numbers.,Could you find the HTML file called 'longbow'?,Locate the file called 'shotgun.',Locate the word 'shotgun' in word files.,Locate the file called 'peroxide.',Locate the file called 'nitroglycerin.',Locate the file called 'rifle.',Locate the site called 'crossbow.',Locate the file called 'flintlock.',Locate cañón in MFT logs and files.,Locate 'thunderbird' in MFT logs and files.,Locate words starting with 'D' and having 8 characters.,"Locate words starting with 'W', 8 letters long, with 'W' in the 5th position."
Search the document for instances of 'DireWolf',"Discover instances of ""WOLF"" without regard to case.","Identify all mentions of 'wolf,' case insensitive.","Identify all mentions of 'Wolf,' case insensitive.","Identify all mentions of 'DireWolf,' case insensitive.","Identify all mentions of 'WereWolf,' case insensitive.","Search for ""WOLF"" occurrences specifically as a standalone word, not part of substrings.",Locate instances of 'wolf' as a distinct word.,Locate instances of 'Wolf' as a distinct word.,"Locate occurrences where both ""WereWolf"" and ""DireWolf"" are found.",Search for and identify 'Were' or 'Dire.',Find files featuring 'fox' and not including 'tiger.',Find documents that include 中国,Find documents that include 東京,Find documents that include 서울,Find documents that include スバル,Find documents that include みつびし,Find documents that include Сибирь,Find documents that include garçon,Find documents that include Schönheit,Find documents that include Россия,Find documents that include فللاف,Find documents that include 中國,Find documents that include 'QuarterHorse.',Find documents that include mañana,Find documents that include 'infinity.',Find documents that include Mäuse,Locate files containing the term 'infinity.',Find documents that include Mäuse,Find documents that include libertà,Find documents that include liberta,Find documents that include mañana,Find documents that include سسكلكا,Find documents that include 'iron.man@marvel.com.',Find documents that include 'potus@capitol.gov.',Find documents that include 'berlin@deutchland.net.',Find documents that include 'kbg@moscow.red.square.ru.',Find documents that include '(901)555-1111.',Find documents that include '301.555-9009.',Find documents that include '800-555-1122.',Find documents that include '202.555.3270.',Find documents that include Social Security Numbers.,Get the HTML document known as 'longbow.',Find the word document called 'shotgun.',Find word documents featuring 'shotgun.',Find the word document called 'peroxide.',Find the word document called 'nitroglycerin.',Find the word document called 'rifle.',Find the page named 'crossbow.',Find the word document called 'flintlock.',Find cañón in MFT logs and files.,Find 'thunderbird' in MFT logs and files.,Find any 8-letter word that starts with 'D'.,"Find words that begin with 'W', are 8 letters long, and have 'W' as the 5th letter."
Locate appearances of the word 'DireWolf' in the document,"Search for ""WOLF"" instances without sensitivity to capitalization.","Detect every mention of 'wolf,' ignoring case sensitivity.","Detect every mention of 'Wolf,' ignoring case sensitivity.","Detect every mention of 'DireWolf,' ignoring case sensitivity.","Detect every mention of 'WereWolf,' ignoring case sensitivity.","Discover instances of ""WOLF"" uniquely as a word separate from substrings.",Identify the word 'wolf' without matching within other words.,Identify the word 'Wolf' without matching within other words.,"Search for occurrences containing both ""WereWolf"" and ""DireWolf.""",Find all the words 'Were' or 'Dire.',Identify files that reference 'fox' and exclude 'tiger.',Identify files showing 中国,Identify files showing 東京,Identify files showing 서울,Identify files showing スバル,Identify files showing みつびし,Identify files showing Сибирь,Identify files showing garçon,Identify files showing Schönheit,Identify files showing Россия,Identify files showing فللاف,Identify files showing 中國,Identify files showing 'QuarterHorse.',Identify files showing mañana,Identify files showing 'infinity.',Identify files showing Mäuse,Find documents that include 'infinity.',Identify files showing Mäuse,Identify files showing libertà,Identify files showing liberta,Identify files showing mañana,Identify files showing سسكلكا,Identify files showing 'iron.man@marvel.com.',Identify files showing 'potus@capitol.gov.',Identify files showing 'berlin@deutchland.net.',Identify files showing 'kbg@moscow.red.square.ru.',Identify files showing '(901)555-1111.',Identify files showing '301.555-9009.',Identify files showing '800-555-1122.',Identify files showing '202.555.3270.',Identify files showing Social Security Numbers.,Please access the HTML file titled 'longbow.',Identify a word file called 'shotgun.',Identify instances of 'shotgun' in word files.,Identify a word file called 'peroxide.',Identify a word file called 'nitroglycerin.',Identify a word file called 'rifle.',Identify a website named 'crossbow.',Identify a word file called 'flintlock.',Identify cañón in MFT logs and files.,Identify 'thunderbird' in MFT logs and files.,Identify words that begin with 'D' and contain 8 letters.,"Identify words starting with 'W', having 8 letters, and 'W' as the 5th letter."
Look for the term 'DireWolf' throughout the file,"Identify occurrences of ""WOLF"" without considering case sensitivity.","Search for every instance of 'wolf,' regardless of case.","Search for every instance of 'Wolf,' regardless of case.","Search for every instance of 'DireWolf,' regardless of case.","Search for every instance of 'WereWolf,' regardless of case.","Identify occurrences of ""WOLF"" solely as a separate word, excluding substrings.","Search and find the exact word 'wolf,' no substrings.","Search and find the exact word 'Wolf,' no substrings.","Look for places where ""WereWolf"" and ""DireWolf"" are both referenced.",Locate the exact instances of 'Were' or 'Dire.',Search for documents having 'fox' without mentioning 'tiger.',Search for the exact string 中国 in documents.,Search for the exact string 東京 in documents.,Search for the exact string 서울 in documents.,Search for the exact string スバル in documents.,Search for the exact string みつびし in documents.,Search for the exact string Сибирь in documents.,Search for the exact string garçon in documents.,Search for the exact string Schönheit in documents.,Search for the exact string Россия in documents.,Search for the exact string فللاف in documents.,Search for the exact string 中國 in documents.,Search for the exact string 'QuarterHorse' in documents.,Search for the exact string mañana in documents.,Search for the exact string 'infinity' in documents.,Search for the exact string Mäuse in documents.,Identify files showing 'infinity.',Search for the exact string Mäuse in documents.,Search for the exact string libertà in documents.,Search for the exact string liberta in documents.,Search for the exact string mañana in documents.,Search for the exact string سسكلكا in documents.,Search for the exact string 'iron.man@marvel.com' in documents.,Search for the exact string 'potus@capitol.gov' in documents.,Search for the exact string 'berlin@deutchland.net' in documents.,Search for the exact string 'kbg@moscow.red.square.ru' in documents.,Search for the exact string '(901)555-1111' in documents.,Search for the exact string '301.555-9009' in documents.,Search for the exact string '800-555-1122' in documents.,Search for the exact string '202.555.3270' in documents.,Search for the exact term Social Security Numbers in documents.,Locate the HTML document referred to as 'longbow.',Search for a file titled 'shotgun.',Search for the word 'shotgun' in documents.,Search for a file titled 'peroxide.',Search for a file titled 'nitroglycerin.',Search for a file titled 'rifle.',Search for a web page titled 'crossbow.',Search for a file titled 'flintlock.',Search for the word cañón in MFT records and logs.,Search for the word 'thunderbird' in MFT records and logs.,Search for words with 8 letters that begin with 'D'.,Search for 8-letter words that begin with 'W' and have 'W' as the 5th letter.
Identify any occurrences of 'DireWolf' in the document,"Locate occurrences of ""WOLF"" regardless of case.","Find all times 'wolf' appears, case not considered.","Find all times 'Wolf' appears, case not considered.","Find all times 'DireWolf' appears, case not considered.","Find all times 'WereWolf' appears, case not considered.","Locate the word ""WOLF"" independently without it being part of substrings.","Find 'wolf' as a whole word only, no substrings included.","Find 'Wolf' as a whole word only, no substrings included.","Discover occurrences where both ""WereWolf"" and ""DireWolf"" are used.",Identify occurrences of the words 'Were' or 'Dire.',Locate files with 'fox' and avoiding 'tiger.',Locate files that have 中国,Locate files that have 東京,Locate files that have 서울,Locate files that have スバル,Locate files that have みつびし,Locate files that have Сибирь,Locate files that have garçon,Locate files that have Schönheit,Locate files that have Россия,Locate files that have فللاف,Locate files that have 中國,Locate files that have 'QuarterHorse.',Locate files that have mañana,Locate files that have 'infinity.',Locate files that have Mäuse,Search for the exact string 'infinity' in documents.,Locate files that have Mäuse,Locate files that have libertà,Locate files that have liberta,Locate files that have mañana,Locate files that have سسكلكا,Locate files that have 'iron.man@marvel.com.',Locate files that have 'potus@capitol.gov.',Locate files that have 'berlin@deutchland.net.',Locate files that have 'kbg@moscow.red.square.ru.',Locate files that have '(901)555-1111.',Locate files that have '301.555-9009.',Locate files that have '800-555-1122.',Locate files that have '202.555.3270.',Locate files that have Social Security Numbers.,Can you bring up the HTML file called 'longbow'?,Locate a word document named 'shotgun.',Locate documents that have 'shotgun' mentioned.,Locate a word document named 'peroxide.',Locate a word document named 'nitroglycerin.',Locate a word document named 'rifle.',Locate a web page called 'crossbow.',Locate a word document named 'flintlock.',Locate the word cañón in MFT records and logs.,Locate the word 'thunderbird' in MFT records and logs.,Locate words having 8 letters starting with 'D'.,Locate any word with 8 letters starting with 'W' and containing 'W' as the 5th letter.
